,orth,phon,type,frequency,grapheme_onset_0,grapheme_onset_1,grapheme_onset_2,grapheme_onset_3,grapheme_onset_4,grapheme_onset_5,grapheme_onset_6,grapheme_onset_7,grapheme_onset_8,grapheme_onset_9,grapheme_onset_10,grapheme_onset_11,grapheme_onset_12,grapheme_onset_13,grapheme_onset_14,grapheme_onset_15,grapheme_onset_16,grapheme_onset_17,grapheme_onset_18,grapheme_onset_19,grapheme_onset_20,grapheme_onset_21,grapheme_onset_22,grapheme_onset_23,grapheme_onset_24,grapheme_onset_25,grapheme_onset_26,grapheme_onset_27,grapheme_onset_28,grapheme_onset_29,grapheme_vowel_0,grapheme_vowel_1,grapheme_vowel_2,grapheme_vowel_3,grapheme_vowel_4,grapheme_vowel_5,grapheme_vowel_6,grapheme_vowel_7,grapheme_vowel_8,grapheme_vowel_9,grapheme_vowel_10,grapheme_vowel_11,grapheme_vowel_12,grapheme_vowel_13,grapheme_vowel_14,grapheme_vowel_15,grapheme_vowel_16,grapheme_vowel_17,grapheme_vowel_18,grapheme_vowel_19,grapheme_vowel_20,grapheme_vowel_21,grapheme_vowel_22,grapheme_vowel_23,grapheme_vowel_24,grapheme_vowel_25,grapheme_vowel_26,grapheme_offset_0,grapheme_offset_1,grapheme_offset_2,grapheme_offset_3,grapheme_offset_4,grapheme_offset_5,grapheme_offset_6,grapheme_offset_7,grapheme_offset_8,grapheme_offset_9,grapheme_offset_10,grapheme_offset_11,grapheme_offset_12,grapheme_offset_13,grapheme_offset_14,grapheme_offset_15,grapheme_offset_16,grapheme_offset_17,grapheme_offset_18,grapheme_offset_19,grapheme_offset_20,grapheme_offset_21,grapheme_offset_22,grapheme_offset_23,grapheme_offset_24,grapheme_offset_25,grapheme_offset_26,grapheme_offset_27,grapheme_offset_28,grapheme_offset_29,grapheme_offset_30,grapheme_offset_31,grapheme_offset_32,grapheme_offset_33,grapheme_offset_34,grapheme_offset_35,grapheme_offset_36,grapheme_offset_37,grapheme_offset_38,grapheme_offset_39,grapheme_offset_40,grapheme_offset_41,grapheme_offset_42,grapheme_offset_43,grapheme_offset_44,grapheme_offset_45,grapheme_offset_46,grapheme_offset_47,phoneme_onset_0,phoneme_onset_1,phoneme_onset_2,phoneme_onset_3,phoneme_onset_4,phoneme_onset_5,phoneme_onset_6,phoneme_onset_7,phoneme_onset_8,phoneme_onset_9,phoneme_onset_10,phoneme_onset_11,phoneme_onset_12,phoneme_onset_13,phoneme_onset_14,phoneme_onset_15,phoneme_onset_16,phoneme_onset_17,phoneme_onset_18,phoneme_onset_19,phoneme_onset_20,phoneme_onset_21,phoneme_onset_22,phoneme_vowel_0,phoneme_vowel_1,phoneme_vowel_2,phoneme_vowel_3,phoneme_vowel_4,phoneme_vowel_5,phoneme_vowel_6,phoneme_vowel_7,phoneme_vowel_8,phoneme_vowel_9,phoneme_vowel_10,phoneme_vowel_11,phoneme_vowel_12,phoneme_vowel_13,phoneme_offset_0,phoneme_offset_1,phoneme_offset_2,phoneme_offset_3,phoneme_offset_4,phoneme_offset_5,phoneme_offset_6,phoneme_offset_7,phoneme_offset_8,phoneme_offset_9,phoneme_offset_10,phoneme_offset_11,phoneme_offset_12,phoneme_offset_13,phoneme_offset_14,phoneme_offset_15,phoneme_offset_16,phoneme_offset_17,phoneme_offset_18,phoneme_offset_19,phoneme_offset_20,phoneme_offset_21,phoneme_offset_22,phoneme_offset_23
0,slit,/slit/,ANC_REG,3.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,thax,/T@ks/,ANC_REG,3.333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,kleef,/klEf/,ANC_REG,3.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,krim,/krim/,ANC_REG,3.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,nisp,/nisp/,ANC_REG,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5,plig,/plig/,ANC_REG,3.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,preld,/preld/,ANC_REG,3.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,scark,/skark/,ANC_REG,3.333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,shing,/SiN/,ANC_REG,3.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,slape,/slAp/,ANC_REG,3.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
