orth,phon,type,set
bive,/bIv/,ANC_AMB,1
kive,/kIv/,ANC_AMB,2
tive,/tIv/,ANC_AMB,3
blome,/blOm/,ANC_AMB,1
prome,/prOm/,ANC_AMB,2
thome,/TOm/,ANC_AMB,3
clead,/kled/,ANC_AMB,1
smead,/smed/,ANC_AMB,2
pread,/pred/,ANC_AMB,3
frow,/frW/,ANC_AMB,1
clow,/klW/,ANC_AMB,2
spow,/spW/,ANC_AMB,3
grour,/grWr/,ANC_AMB,1
snour,/snWr/,ANC_AMB,2
frour,/frWr/,ANC_AMB,3
plone,/plan/,ANC_AMB,1
frone,/fran/,ANC_AMB,2
smone,/sman/,ANC_AMB,3
slood,/sl^d/,ANC_AMB,1
vood,/v^d/,ANC_AMB,2
frood,/fr^d/,ANC_AMB,3
trear,/trAr/,ANC_AMB,1
plear,/plAr/,ANC_AMB,2
crear,/crAr/,ANC_AMB,3
drush,/druS/,ANC_AMB,1
skush,/skuS/,ANC_AMB,2
thush,/TuS/,ANC_AMB,3
thops,/TOp/,ANC_AMB,1
frops,/frOp/,ANC_AMB,2
blops,/blOp/,ANC_AMB,3
brot,/brOt/,ANC_EXC,1
splot,/splOt/,ANC_EXC,2
stot,/stOt/,ANC_EXC,3
chell,/CEl/,ANC_EXC,1
drell,/drEl/,ANC_EXC,2
plell,/plEl/,ANC_EXC,3
crill,/crIl/,ANC_EXC,1
dwill,/dwIl/,ANC_EXC,2
clill,/klIl/,ANC_EXC,3
dest,/dEst/,ANC_EXC,1
trest,/trEst/,ANC_EXC,2
glest,/glEst/,ANC_EXC,3
drace,/dro/,ANC_EXC,1
thace,/To/,ANC_EXC,2
smace,/smo/,ANC_EXC,3
fank,/fank/,ANC_EXC,1
nank,/nank/,ANC_EXC,2
pank,/pank/,ANC_EXC,3
geam,/gem/,ANC_EXC,1
cheam,/Cem/,ANC_EXC,2
tream,/trem/,ANC_EXC,3
kipe,/kip/,ANC_EXC,1
fipe,/fip/,ANC_EXC,2
mipe,/mip/,ANC_EXC,3
fust,/fUst/,ANC_EXC,1
blust,/blUst/,ANC_EXC,2
pust,/pUst/,ANC_EXC,3
suff,/sUf/,ANC_EXC,1
chuff,/CUf/,ANC_EXC,2
vuff,/vUf/,ANC_EXC,3
blit,/blit/,ANC_REG,1
drit,/drit/,ANC_REG,2
smit,/smit/,ANC_REG,3
grax,/gr@ks/,ANC_REG,1
glax,/gl@ks/,ANC_REG,2
brax,/br@ks/,ANC_REG,3
kleef,/klEf/,ANC_REG,1
preef,/prEf/,ANC_REG,2
smeef,/smEf/,ANC_REG,3
krim,/krim/,ANC_REG,1
plim,/plim/,ANC_REG,2
spim,/spim/,ANC_REG,3
nisp,/nisp/,ANC_REG,1
fisp,/fisp/,ANC_REG,2
chisp,/Cisp/,ANC_REG,3
plig,/plig/,ANC_REG,1
drig,/drig/,ANC_REG,2
snig,/snig/,ANC_REG,3
preld,/preld/,ANC_REG,1
steld,/steld/,ANC_REG,2
freld,/freld/,ANC_REG,3
scark,/skark/,ANC_REG,1
plark,/plark/,ANC_REG,2
crark,/crark/,ANC_REG,3
ning,/niN/,ANC_REG,1
hing,/hiN/,ANC_REG,2
ging,/giN/,ANC_REG,3
slape,/slAp/,ANC_REG,1
thape,/TAp/,ANC_REG,2
chape,/CAp/,ANC_REG,3
