"","stimuli"
"1","krit"
"2","glit"
"3","plit"
"4","trit"
"5","thax"
"6","skax"
"7","prax"
"8","chax"
"9","bleef"
"10","freef"
"11","pleef"
"12","pheef"
"13","blim"
"14","clim"
"15","drim"
"16","frim"
"17","bisp"
"18","kisp"
"19","risp"
"20","tisp"
"21","blig"
"22","clig"
"23","flig"
"24","slig"
"25","breld"
"26","creld"
"27","dreld"
"28","theld"
"29","blark"
"30","frark"
"31","drark"
"32","slark"
"33","blape"
"34","bape"
"35","snape"
"36","smape"
"37","zive"
"38","mive"
"39","pive"
"40","rive"
"41","shome"
"42","flome"
"43","grome"
"44","chome"
"45","snead"
"46","glead"
"47","thead"
"48","kread"
"49","zow"
"50","trow"
"51","fow"
"52","smow"
"53","brour"
"54","drour"
"55","prour"
"56","trour"
"57","blone"
"58","thone"
"59","chone"
"60","grone"
"61","glood"
"62","grood"
"63","plood"
"64","thood"
"65","zear"
"66","dwear"
"67","drear"
"68","flear"
"69","chush"
"70","spush"
"71","frush"
"72","glush"
"73","throps"
"74","brops"
"75","spops"
"76","smops"
"77","fot"
"78","grot"
"79","chot"
"80","prot"
"81","guell"
"82","crell"
"83","thell"
"84","prell"
"85","blill"
"86","snill"
"87","thill"
"88","brill"
"89","clest"
"90","mest"
"91","stest"
"92","shest"
"93","frace"
"94","krace"
"95","prace"
"96","snace"
"97","lank"
"98","grank"
"99","vank"
"100","zank"
"101","pream"
"102","fleam"
"103","keam"
"104","peam"
"105","bipe"
"106","vipe"
"107","gipe"
"108","jipe"
"109","smuff"
"110","druff"
"111","fuff"
"112","pluff"
"113","blit"
"114","drit"
"115","smit"
"116","grax"
"117","glax"
"118","brax"
"119","kleef"
"120","preef"
"121","smeef"
"122","krim"
"123","plim"
"124","spim"
"125","nisp"
"126","fisp"
"127","chisp"
"128","plig"
"129","drig"
"130","snig"
"131","preld"
"132","steld"
"133","freld"
"134","scark"
"135","plark"
"136","crark"
"137","ning"
"138","hing"
"139","ging"
"140","slape"
"141","thape"
"142","chape"
"143","bive"
"144","kive"
"145","tive"
"146","blome"
"147","prome"
"148","thome"
"149","clead"
"150","smead"
"151","pread"
"152","frow"
"153","clow"
"154","spow"
"155","grour"
"156","snour"
"157","frour"
"158","plone"
"159","frone"
"160","smone"
"161","slood"
"162","vood"
"163","frood"
"164","trear"
"165","plear"
"166","crear"
"167","drush"
"168","thops"
"169","brot"
"170","splot"
"171","stot"
"172","chell"
"173","drell"
"174","plell"
"175","crill"
"176","dwill"
"177","clill"
"178","dest"
"179","trest"
"180","glest"
"181","drace"
"182","thace"
"183","smace"
"184","fank"
"185","nank"
"186","pank"
"187","geam"
"188","cheam"
"189","tream"
"190","kipe"
"191","fipe"
"192","mipe"
"193","fust"
"194","blust"
"195","pust"
"196","suff"
"197","chuff"
"198","vuff"
