type,phon,orth
PRO_AMB,/zIv/,zive
PRO_AMB,/mIv/,mive
PRO_AMB,/pIv/,pive
PRO_AMB,/rIv/,rive
PRO_AMB,/SOm/,shome
PRO_AMB,/flOm/,flome
PRO_AMB,/grOm/,grome
PRO_AMB,/COm/,chome
PRO_AMB,/sned/,snead
PRO_AMB,/gled/,glead
PRO_AMB,/Ted/,thead
PRO_AMB,/kred/,kread
PRO_AMB,/zW/,zow
PRO_AMB,/tW/,trow
PRO_AMB,/fW/,fow
PRO_AMB,/smW/,smow
PRO_AMB,/brWr/,brour
PRO_AMB,/drWr/,drour
PRO_AMB,/prWr/,prour
PRO_AMB,/trWr/,trour
PRO_AMB,/blan/,blone
PRO_AMB,/Tan/,thone
PRO_AMB,/Can/,chone
PRO_AMB,/gran/,grone
PRO_AMB,/gl^d/,glood
PRO_AMB,/gr^d/,grood
PRO_AMB,/pl^d/,plood
PRO_AMB,/T^d/,thood
PRO_AMB,/ZAr/,zear
PRO_AMB,/dwAr/,dwear
PRO_AMB,/drAr/,drear
PRO_AMB,/flAr/,flear
PRO_AMB,/CuS/,chush
PRO_AMB,/spkuS/,spush
PRO_AMB,/fruS/,frush
PRO_AMB,/gluS/,glush
PRO_AMB,/TrOp/,throps
PRO_AMB,/brOp/,brops
PRO_AMB,/spOp/,spops
PRO_AMB,/smOp/,smops
PRO_EXC,/fOt/,fot
PRO_EXC,/grOt/,grot
PRO_EXC,/COt/,chot
PRO_EXC,/prOt/,prot
PRO_EXC,/gEl/,guell
PRO_EXC,/crEl/,crell
PRO_EXC,/TEl/,thell
PRO_EXC,/prEl/,prell
PRO_EXC,/blIl/,blill
PRO_EXC,/snIl/,snill
PRO_EXC,/TIl/,thill
PRO_EXC,/brIl/,brill
PRO_EXC,/clEst/,clest
PRO_EXC,/mEst/,mest
PRO_EXC,/stEst/,stest
PRO_EXC,/SEst/,shest
PRO_EXC,/fro/,frace
PRO_EXC,/kro/,krace
PRO_EXC,/pro/,prace
PRO_EXC,/sno/,snace
PRO_EXC,/lank/,lank
PRO_EXC,/grank/,grank
PRO_EXC,/vank/,vank
PRO_EXC,/zank/,zank
PRO_EXC,/prem/,pream
PRO_EXC,/flem/,fleam
PRO_EXC,/kem/,keam
PRO_EXC,/pem/,peam
PRO_EXC,/bip/,bipe
PRO_EXC,/vip/,vipe
PRO_EXC,/gip/,gipe
PRO_EXC,/jip/,jipe
PRO_EXC,/CUst/,chust
PRO_EXC,/nUst/,nust
PRO_EXC,/tUst/,tust
PRO_EXC,/drUst/,drust
PRO_EXC,/smUf/,smuff
PRO_EXC,/drUf/,druff
PRO_EXC,/fUf/,fuff
PRO_EXC,/plUf/,pluff
PRO_REG,/krit/,krit
PRO_REG,/glit/,glit
PRO_REG,/plit/,plit
PRO_REG,/trit/,trit
PRO_REG,/T@ks/,thax
PRO_REG,/sk@ks/,skax
PRO_REG,/pr@ks/,prax
PRO_REG,/C@ks/,chax
PRO_REG,/blEf/,bleef
PRO_REG,/frEf/,freef
PRO_REG,/plEf/,pleef
PRO_REG,/fEf/,pheef
PRO_REG,/blim/,blim
PRO_REG,/clim/,clim
PRO_REG,/drim/,drim
PRO_REG,/frim/,frim
PRO_REG,/bisp/,bisp
PRO_REG,/kisp/,kisp
PRO_REG,/risp/,risp
PRO_REG,/tisp/,tisp
PRO_REG,/blig/,blig
PRO_REG,/clig/,clig
PRO_REG,/flig/,flig
PRO_REG,/slig/,slig
PRO_REG,/breld/,breld
PRO_REG,/creld/,creld
PRO_REG,/dreld/,dreld
PRO_REG,/Teld/,theld
PRO_REG,/blark/,blark
PRO_REG,/frark/,frark
PRO_REG,/drark/,drark
PRO_REG,/slark/,slark
PRO_REG,/fiN/,fing
PRO_REG,/jiN/,jing
PRO_REG,/yiN/,ying
PRO_REG,/viN/,ving
PRO_REG,/blAp/,blape
PRO_REG,/bAp/,bape
PRO_REG,/snAp/,snape
PRO_REG,/smAp/,smape
