Orig. order,type,JEPG anchor,rhyme,regularized,subordinate,orthography,phonology,set,visual 1,visual 2,visual 3,visual 4,visual 5,visual 6,visual 7,visual 8,onset 1,onset 2,onset 3,onset 4,offset 1,offset 2,offset 3,offset 4,probe 1,probe 2,probe 3,probe 4,Comments
61,ambiguous,bive,drive,drive,give,bive,/bIv/,1,biv,biyve,byve,bighve,beyve,beyeve,byyve,byvve,vive,plive,thive,sive,blime,bine,bice,bife,zive,mive,pive,rive,
71,ambiguous,bive,drive,drive,give,kive,/kIv/,2,kiv,kiyve,kyve,kighve,kyeve,keyeve,kyvve,kivve,blive,stive,brive,chive,kime,kine,kice,kife,zive,mive,pive,rive,
81,ambiguous,bive,drive,drive,give,tive,/tIv/,3,tiv,tiyve,tyve,tighve,tyeve,teyeve,tyvve,tivve,glive,prive,klive,quive,tiss,timp,tice,tife,zive,mive,pive,rive,
62,ambiguous,blome,home,home,some,blome,/blOm/,1,bloame,blowm,blaume,blawm,blawme,blomme,bloamm,blaumme,brome,snome,clome,trome,blol,bloth,blon,blov,shome,flome,grome,chome,
72,ambiguous,blome,home,home,some,prome,/prOm/,2,proame,prowm,praume,prawm,prawme,promme,proamm,praumme,glome,stome,shrome,throme,prol,protch,pront,prock,shome,flome,grome,chome,
82,ambiguous,blome,home,home,some,thome,/TOm/,3,thoame,thowm,thaume,thawm,thawme,thomme,thoamm,thaumme,wome,cwome,plome,spome,thol,thoth,thon,thoc,shome,flome,grome,chome,
63,ambiguous,clead,led,greed,led,clead,/kled/,1,cled,kled,cledd,kledd,clehd,klehd,chled,chledd,sread,chread,shlead,vead,cleap,cleath,cleab,cleass,snead,glead,thead,kread,
73,ambiguous,clead,led,greed,led,smead,/smed/,2,smed,smmed,smedd,smmedd,smehd,scmehd,smehdd,smmehdd,gead,stread,skead,shnead,smeat,smeath,smeab,smeass,snead,glead,thead,kread,
83,ambiguous,clead,led,led,greed,pread,/pred/,3,pred,praed,predd,praedd,prehd,praehd,prehdd,praehdd,kead,skread,splead,gread,preak,preath,preab,preass,snead,glead,thead,kread,
64,ambiguous,frow,how,row,how,frow,/frW/,1,frawe,frowe,froaw,phrow,phraw,phroaw,phrawe,phrah,throuw,strow,jow,splow,fral,fraws,fram,frab,zow,trow,fow,smow,
